Value,Percentage/Number,Source
Projected economic impact,$929M for King County,SeattleFWC26 Economic Impact + Everett Post
Direct spending,$652.6M,SeattleFWC26 Economic Impact + Everett Post
Additional visitors to Puget Sound,"~750,000",SeattleFWC26 Economic Impact + Everett Post
Expected stay,~1 week,SeattleFWC26 Economic Impact + Everett Post
Jobs supported,"20,762",SeattleFWC26 Economic Impact + Everett Post
Tax revenue,$100M+,SeattleFWC26 Economic Impact + Everett Post
Matches in Seattle,6,SeattleFWC26 Economic Impact + Everett Post
Matches in Vancouver,7,Vancouver 2026 FIFA World Cup Economic Impact Assessment (BC Stats / TACS)
BC Place capacity,"54,500",Vancouver 2026 FIFA World Cup Economic Impact Assessment (BC Stats / TACS)
Total event attendees (Vancouver),"362,100",Vancouver 2026 FIFA World Cup Economic Impact Assessment (BC Stats / TACS)
